anime_id,name,genre,type,episodes,rating,members
32281,kimi no na wa,"drama, romance, school, supernatural",movie,1,9.37,200630
5114,fullmetal alchemist brotherhood,"action, adventure, drama, fantasy, magic, military, shounen",tv,64,9.26,793665
28977,gintama,"action, comedy, historical, parody, samurai, sci-fi, shounen",tv,51,9.25,114262
9253,steinsgate,"sci-fi, thriller",tv,24,9.17,673572
9969,gintama,"action, comedy, historical, parody, samurai, sci-fi, shounen",tv,51,9.16,151266
32935,haikyuu karasuno koukou vs shiratorizawa gakuen koukou,"comedy, drama, school, shounen, sports",tv,10,9.15,93351
11061,hunter x hunter 2011,"action, adventure, shounen, super power",tv,148,9.13,425855
820,ginga eiyuu densetsu,"drama, military, sci-fi, space",ova,110,9.11,80679
15335,gintama movie kanketsuhen  yorozuya yo eien nare,"action, comedy, historical, parody, samurai, sci-fi, shounen",movie,1,9.1,72534
15417,gintama enchousen,"action, comedy, historical, parody, samurai, sci-fi, shounen",tv,13,9.11,81109
4181,clannad after story,"drama, fantasy, romance, slice of life, supernatural",tv,24,9.06,456749
28851,koe no katachi,"drama, school, shounen",movie,1,9.05,102733
918,gintama,"action, comedy, historical, parody, samurai, sci-fi, shounen",tv,201,9.04,336376
2904,code geass hangyaku no lelouch r2,"action, drama, mecha, military, sci-fi, super power",tv,25,8.98,572888
28891,haikyuu second season,"comedy, drama, school, shounen, sports",tv,25,8.93,179342
199,sen to chihiro no kamikakushi,"adventure, drama, supernatural",movie,1,8.93,466254
23273,shigatsu wa kimi no uso,"drama, music, romance, school, shounen",tv,22,8.92,416397
24701,mushishi zoku shou 2nd season,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",tv,10,8.88,75894
12355,ookami kodomo no ame to yuki,"fantasy, slice of life",movie,1,8.84,226193
1575,code geass hangyaku no lelouch,"action, mecha, military, school, sci-fi, super power",tv,25,8.83,715151
263,hajime no ippo,"comedy, drama, shounen, sports",tv,75,8.83,157670
44,rurouni kenshin meiji kenkaku romantan  tsuiokuhen,"action, drama, historical, martial arts, romance, samurai",ova,4,8.83,129307
1,cowboy bebop,"action, adventure, comedy, drama, sci-fi, space",tv,26,8.82,486824
30276,one punch man,"action, comedy, parody, sci-fi, seinen, super power, supernatural",tv,12,8.82,552458
164,mononoke hime,"action, adventure, fantasy",movie,1,8.81,339556
7311,suzumiya haruhi no shoushitsu,"comedy, mystery, romance, school, sci-fi, supernatural",movie,1,8.81,240297
17074,monogatari series second season,"comedy, mystery, romance, supernatural, vampire",tv,26,8.8,205959
21939,mushishi zoku shou,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",tv,10,8.8,101351
457,mushishi,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",tv,26,8.78,300030
2001,tengen toppa gurren lagann,"action, adventure, comedy, mecha, sci-fi",tv,27,8.78,562962
245,great teacher onizuka,"comedy, drama, school, shounen, slice of life",tv,43,8.77,268487
32983,natsume yuujinchou go,"drama, fantasy, shoujo, slice of life, supernatural",tv,13,8.76,38865
5258,hajime no ippo new challenger,"comedy, drama, shounen, sports",tv,26,8.75,88995
28957,mushishi zoku shou suzu no shizuku,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",movie,1,8.75,32266
11665,natsume yuujinchou shi,"drama, fantasy, shoujo, slice of life, supernatural",tv,13,8.75,98431
431,howl no ugoku shiro,"adventure, drama, fantasy, romance",movie,1,8.74,333186
11741,fatezero 2nd season,"action, fantasy, supernatural, thriller",tv,12,8.73,340973
31757,kizumonogatari ii nekketsuhen,"action, mystery, supernatural, vampire",movie,1,8.73,34347
19,monster,"drama, horror, mystery, police, psychological, seinen, thriller",tv,74,8.72,247562
12365,bakuman 3rd season,"comedy, drama, romance, shounen",tv,25,8.71,133620
1535,death note,"mystery, police, psychological, supernatural, thriller",tv,37,8.71,1013917
32366,gintama aizome kaorihen,"comedy, parody",ova,2,8.69,16947
30654,ansatsu kyoushitsu tv 2nd season,"action, comedy, school, shounen",tv,25,8.68,176475
20583,haikyuu,"comedy, drama, school, shounen, sports",tv,25,8.68,284498
19647,hajime no ippo rising,"comedy, drama, shounen, sports",tv,25,8.68,66756
4282,kara no kyoukai 5 mujun rasen,"action, drama, mystery, romance, supernatural, thriller",movie,1,8.68,111074
10379,natsume yuujinchou san,"drama, fantasy, shoujo, slice of life, supernatural",tv,13,8.67,102322
22135,ping pong the animation,"psychological, seinen, sports",tv,11,8.67,97187
21329,mushishi special hihamukage,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",special,1,8.66,49036
31043,boku dake ga inai machi,"mystery, psychological, seinen, supernatural",tv,12,8.65,402381
7785,yojouhan shinwa taikei,"mystery, psychological, romance",tv,11,8.65,122531
3297,aria the origination,"fantasy, sci-fi, shounen, slice of life",tv,13,8.64,56162
30709,kamisama hajimemashita kakohen,"comedy, demons, fantasy, shoujo, supernatural",ova,4,8.64,33422
6114,rainbow nisha rokubou no shichinin,"drama, historical, seinen, thriller",tv,26,8.64,139474
31240,rezero kara hajimeru isekai seikatsu,"drama, fantasy, psychological, thriller",tv,25,8.64,355839
4565,tengen toppa gurren lagann movie lagannhen,"action, mecha, sci-fi, space, super power",movie,1,8.64,82253
